Date,Sales
2018-01-01,509.93428306022463
2018-02-01,507.168997036801
2018-03-01,520.1227677988148
2018-04-01,550.5833649269753
2018-05-01,545.9002974325086
2018-06-01,541.217558293525
2018-07-01,572.8018146036728
2018-08-01,588.150509186731
2018-09-01,578.7610214680319
2018-10-01,589.6122223397513
2018-11-01,580.343868483502
2018-12-01,571.0292734120968
2019-01-01,575.8685188434175
2019-02-01,537.6029139502616
2019-03-01,503.1045573000009
2019-04-01,491.85880671518146
2019-05-01,471.602184308493
2019-06-01,477.88713096039845
2019-07-01,459.7266494499743
2019-08-01,431.4805754232684
2019-09-01,460.7935508016995
2019-10-01,456.2780247919688
2019-11-01,457.62858888572725
2019-12-01,429.1336251614581
2020-01-01,418.2459706709545
2020-02-01,420.4644224651518
2020-03-01,397.44455091670574
2020-04-01,404.95851128361915
2020-05-01,392.94573748524306
2020-06-01,387.11186248937753
2020-07-01,375.07773024478956
2020-08-01,412.12329393496833
2020-09-01,411.8533494402097
2020-10-01,390.69913086109165
2020-11-01,407.1500291031555
2020-12-01,382.733156103735
2021-01-01,386.91042800383013
2021-02-01,347.7170255262346
2021-03-01,321.15330454826596
2021-04-01,325.09052926564846
2021-05-01,339.85986086555664
2021-06-01,343.28722648935604
2021-07-01,340.9742608415912
2021-08-01,334.95218692980546
2021-09-01,305.3817471224569
2021-10-01,290.98486295456274
2021-11-01,281.772087535367
2021-12-01,302.9145320597453
2022-01-01,309.78689785111453
2022-02-01,274.52609474385986
2022-03-01,281.00777413175575
2022-04-01,273.30612852342944
2022-05-01,259.76768851731026
2022-06-01,272.00121429412764
2022-07-01,292.6212047440466
2022-08-01,311.2468071263706
2022-09-01,294.4624566619178
2022-10-01,288.27820914489354
2022-11-01,294.90347777296483
2022-12-01,314.414380315412
